■頭部パーツ
○名称	タイプ	重量	スロット数	装甲	射撃補正	索敵	ロックオン	DEF回復	強化対象1	強化値1	強化対象2	強化値2	強化対象3	強化値3
○名称	重量	属性	威力	総弾数	連射速度	射撃精度	反動	リロード時間	強化対象1	強化値1	強化対象2	強化値2	強化対象3	強化値3
LAC－グローム	420	ニュード	1590	24x13	180	B-	A	2.5	重量	399	連射速度	187	威力	1654
LAC－グロームβ	440	ニュード	1490	27x12	180	B+	A+	2.5	重量	418	連射速度	187	威力	1550
LAC－タルナダ	560	ニュード	980	36x14	320	C+	A	3.6	重量	532	連射速度	336	威力	1029
LAC－ウラガーン	500	ニュード	950	42x13	320	B-	A+	4.0	重量	475	連射速度	339	威力	1007

●MLG－グラート系統
○名称	重量	属性	威力	総弾数	連射速度	射撃精度	反動	リロード時間	強化対象1	強化値1	強化対象2	強化値2	強化対象3	強化値3
MLG－グラート	390	ニュード	390	80x17	800	D-	B	2.7	重量	370.5	連射速度	832	威力	406
MLG－グラートβ	400	ニュード	250	135x16	1200	D	B+	2.9	重量	380	連射速度	1248	威力	260
MLG－グラートγ	450	ニュード	450	64x17	800	E	B-	2.6	重量	427.5	連射速度	840	威力	473
MLG－メチェーリ	430	ニュード	280	110x18	1200	D+	B	2.8	重量	408.5	連射速度	1272	威力	297

●PSO2コラボ系統
○名称	重量	属性	威力	総弾数	連射速度	射撃精度	反動	リロード時間	強化対象1	強化値1	強化対象2	強化値2	強化対象3	強化値3
セイントブーム	450	ニュード	1650	16x11	180	A-	A+	2.4	重量	427.5	連射速度	191	威力	1749

◆副武器
●サワード系統
○名称	重量	属性	威力	総弾数	連射速度	爆発半径	リロード時間	強化対象1	強化値1	強化対象2	強化値2	強化対象3	強化値3
サワードロケット	490	爆発	8500	1x5	(単発)	12	2.0	重量	465.5	爆発半径	12.5	威力	8840
サワード・バラージ	550	爆発(3点射)	5300	3x5	800	9	4.0	重量	522.5	爆発半径	9.4	威力	5512
サワード・スマイト	500	爆発	8000	1x6	(単発)	16	2.6	重量	475	爆発半径	16.8	威力	8400
サワード・コング	600	爆発	13800	1x3	(単発)	17	4.5	重量	570	爆発半径	18	威力	14628

●スクラムバスター系統
○名称	重量	属性	威力	総弾数	連射速度	爆発半径	リロード時間	強化対象1	強化値1	強化対象2	強化値2	強化対象3	強化値3
スクラムバスター	520	爆発	2800	6x4	480	13	4.0	重量	494	爆発半径	13.5	威力	2912
スクラムバスターC	490	爆発	2200	8x4	600	14	4.5	重量	465.5	爆発半径	14.7	威力	2310
SCB－ヘルファイア	540	爆発	4400	4x4	320	15	5.0	重量	513	爆発半径	15.9	威力	4664

●プラズマカノン系統
○名称	重量	属性	威力	総弾数	連射速度	爆発半径	リロード時間	強化対象1	強化値1	強化対象2	強化値2	強化対象3	強化値3
プラズマカノン	460	ニュード50%／爆発50%	5600	4x3	80	13	3.5	重量	437	爆発半径	13.5	威力	5824
プラズマカノンXM	520	ニュード50%／爆発50%	7100	2x4	80	11	2.5	重量	494	爆発半径	11.4	威力	7384
プラズマカノン・ネオ	490	ニュード50%／爆発50%	17500	1x3	(単発)	7	3.6	重量	465.5	爆発半径	7.4	威力	18376
プラズマカノンUG	480	ニュード50%／爆発50%	6300	3x3	120	14	3.5	重量	456	爆発半径	14.8	威力	6678

●チャージカノン系統
○名称	重量	属性	威力	総弾数	連射速度	爆発半径	充填時間	リロード時間	強化対象1	強化値1	強化対象2	強化値2	強化対象3	強化値3
チャージカノン	510	爆発50%／ニュード50%(チャージ)	4000/8000	2x5	100	12	1.0	3.0	重量	484.5	爆発半径	12.5	威力	4160/8320
チャージカノンMk－2	530	爆発50%／ニュード50%(チャージ)	2000/5000	6x3	750	11	2.0	3.5	重量	503.5	爆発半径	11.4	威力	2080/5200
チャージカノン・イオ	590	爆発50%／ニュード50%(チャージ)	6000/24000	1x3	-	12	4.0	4.0	重量	560.5	爆発半径	12.6	威力	6300/25200
チャージカノンXG	560	爆発50%／ニュード50%(チャージ)	3700/3922	3x3	100	13	2.5	3.5	重量	532	爆発半径	13.8	威力	3922/11766

●MLRS系統
○名称	重量	属性	威力	総弾数	連射速度	爆発半径	誘導性能	リロード時間	強化対象1	強化値1	強化対象2	強化値2	強化対象3	強化値3
試験型MLRS	530	爆発	2500	6x3	480	12	C+	3.0	重量	503.5	爆発半径	12.5	威力	2600
多連装型MLRS	620	爆発	2200	8x3	480	9	B+	4.0	重量	589	爆発半径	9.4	威力	2288
強化型MLRS	600	爆発	4200	4x3	320	14	A+	4.0	重量	570	爆発半径	14.7	威力	4410
斉射型MLRS	640	爆発	2700	6x3	480	13	B-	4.0	重量	608	爆発半径	13.8	威力	2862

●スプレッドランチャー系統
○名称	重量	属性	威力	総弾数	連射速度	爆発半径	リロード時間	強化対象1	強化値1	強化対象2	強化値2	強化対象3	強化値3
スプレッドランチャー	550	爆発	2800x5	2x4	90	12	4.5	重量	522.5	爆発半径	12.5	威力	2912x5
SPL－サージ	580	爆発	2500x5	3x3	90	12	5.0	重量	551	爆発半径	12.5	威力	2600x5
SPL－プロミネンス	590	爆発	4300x5	1x4	-	14	3.5	重量	560.5	爆発半径	14.7	威力	4515x5
SPL－スピキュール	610	爆発	6300x3	1x3	-	15	4.5	重量	579.5	爆発半径	15.9	威力	6678x3

●DGランチャー系統
○名称	重量	属性	威力	総弾数	爆発半径	起爆時間	リロード時間	強化対象1	強化値1	強化対象2	強化値2	強化対象3	強化値3
DGランチャー	530	爆発	7500	2x4	21	2.0	3.5	重量	503.5	爆発半径	21.8	威力	7800
DGランチャーC	550	爆発	5500	3x4	22	1.5	3.0	重量	522.5	爆発半径	22.9	威力	5720
DGランチャーTF	540	爆発	5000	3x4	24	2.0	4.0	重量	513	爆発半径	25.2	威力	5250
DGL－クリメイト	560	爆発	14200	1x4	26	2.5	3.5	重量	532	爆発半径	27.6	威力	15052

●ブレイズランチャー系統
○名称	重量	属性	威力	総弾数	連射速度	爆発半径	効果持続	リロード時間	強化対象1	強化値1	強化対象2	強化値2	強化対象3	強化値3
ブレイズランチャー	570	爆発50%／ニュード50%	4600	2x3	90	8	1.5	4	重量	541.5	爆発半径	8.3	威力	4784
ブレイズランチャーC	590	爆発50%／ニュード50%	4100	3x4	240	7	1.2	3	重量	560.5	爆発半径	7.4	威力	4305
ブレイズランチャーX	620	爆発50%／ニュード50%	6500	1x4	-	9	2	4	重量	589	爆発半径	9.5	威力	6890

◆補助装備
●AN手榴弾系統
○名称	重量	所持数	爆発半径	起爆時間	リロード時間	効果持続	被損傷倍率	強化対象1	強化値1	強化対象2	強化値2	強化対象3	強化値3
AN手榴弾	180	4	22	1.2	1.0	5.0	1.4	重量	171	リロード時間	0.92	爆発半径	22.9
試験型AN手榴弾	160	5	30	1.0	1.0	4.0	1.2	重量	152	リロード時間	0.91	爆発半径	31.5
新型AN手榴弾	150	3	25	1.8	1.0	7.0	1.6	重量	142.5	リロード時間	0.9	爆発半径	26.5

●ECMグレネード系統
○名称	重量	所持数	爆発半径	起爆時間	リロード時間	効果持続	強化対象1	強化値1	強化対象2	強化値2	強化対象3	強化値3
ECMグレネード	140	3	25	2.5	1.0	5.0	重量	133	リロード時間	0.92	爆発半径	26
試験型ECMグレネード	150	3	30	0.5	1.0	2.0	重量	142.5	リロード時間	0.92	爆発半径	31.2
新型ECMグレネード	120	2	22	2.5	1.0	7.0	重量	114	リロード時間	0.91	爆発半径	23.1
改良型ECMグレネード	160	2	23	1.0	1.0	4.0	重量	152	リロード時間	0.90	爆発半径	24.4

●アームパイク系統
○名称	重量	属性	通常攻撃	特殊攻撃	強化対象1	充填時間	強化値1	強化対象2	強化値2	強化対象3	強化値3
アームパイク	210	近接(チャージ)	4500/9000	6000/12000	2.0	重量	199.5	通常攻撃	4950/9900	特殊攻撃	6600/13200
ヘヴィパイク	240	近接(チャージ)	5000/12500	7000/17500	2.5	重量	228	通常攻撃	5550/13875	特殊攻撃	7770/19425
ラベージパイク	250	近接(チャージ)	5500/16500	10000/30000	3.0	重量	237.5	通常攻撃	6160/18480	特殊攻撃	11200/33600

◆特別装備
●重装砲系統
○名称	重量	属性	威力	最大発射弾数	爆発半径	チャージ時間	強化対象1	強化値1	強化対象2	強化値2	強化対象3	強化値3
タウル重装砲	800	爆発	7000	6	20	35	重量	760	爆発半径	20.8	威力	7280
ヴァーゴ重装砲	890	爆発	6200	10	18	45	重量	845.5	爆発半径	18.7	威力	6448
ハイドラ重装砲	870	爆発	5000	9	16	30	重量	826.5	爆発半径	16.8	威力	5250
モノセロス重装砲	1010	爆発	16000	1	30	40	重量	959.5	爆発半径	31.8	威力	16960

●榴弾砲系統
○名称	重量	属性	威力	最大発射弾数	爆発半径	チャージ時間	射程距離	着弾時間	着弾誤差半径	強化対象1	強化値1	強化対象2	強化値2	強化対象3	強化値3
タイタン榴弾砲	930	爆発	10000	6	25	60	300	5.5	15	重量	883.5	爆発半径	26	威力	10400
コロッサス榴弾砲	970	爆発	7200	11	22	65	250	4.5	25	重量	921.5	爆発半径	22.9	威力	7488
ギガノト榴弾砲	1080	爆発	24000	1	40	58	350	8	0	重量	1026	爆発半径	42	威力	25200
ネフィリム榴弾砲	1060	爆発(3点射)	11000	3	32	55	260	4	15	重量	1007	爆発半径	33.9	威力	11660

●エアバスター系統
○名称	重量	属性	威力	最大発射弾数	爆発半径	チャージ時間	射程距離	着弾時間	着弾誤差半径	強化対象1	強化値1	強化対象2	強化値2	強化対象3	強化値3
エアバスターT10	740	爆発	9800	4	28	65	350	4.2	15	重量	703	爆発半径	29.1	威力	10192
エアバスターT25	920	爆発	14000	1	45	55	260	6.5	0	重量	874	爆発半径	46.8	威力	14560
エアバスターXHR	960	爆発	6800	9	30	75	300	6.5	30	重量	912	爆発半径	31.5	威力	7140
エアバスターTSL	1000	爆発	7800	4	35	46	240	5.0	20	重量	950	爆発半径	37.1	威力	8268

●バリアユニット系統
○名称	重量	連続使用	防弾範囲	耐久力	チャージ時間	強化対象1	強化値1	強化対象2	強化値2	強化対象3	強化値3
バリアユニット	730	60	前方	13000	55	重量	693.5	チャージ時間	52.25	耐久力	14040
バリアユニットβ	700	70	全方位	7500	40	重量	665	チャージ時間	37.6	耐久力	8175
バリアユニットγ	740	50	全方位	10000	45	重量	703	チャージ時間	41.85	耐久力	11000

●AiGIS系統
○名称	重量	連続使用	被損傷倍率	効果範囲	チャージ時間	強化対象1	強化値1	強化対象2	強化値2	強化対象3	強化値3
AiGIS－T1	780	25	0.65	17	25	重量	741	チャージ時間	23.75	連続使用	23.75
AiGIS－T2W	760	30	0.7	21	30	重量	722	チャージ時間	28.2	連続使用	32.7
AiGIS－THV	790	20	0.5	16	20	重量	750.5	チャージ時間	18.6	連続使用	22.0

■遊撃兵装
◆主武器
●Wレヴェラー系統
○名称	重量	属性	威力	総弾数	連射速度	射撃精度	反動	リロード時間	強化対象1	強化値1	強化対象2	強化値2	強化対象3	強化値3
レヴェラーMP20	180	実弾	330x2	26x12	400	C	C+	1.2	重量	171	連射速度	416	威力	343x2
レヴェラーR	190	実弾	250x2	42x11	500	C-	C+	1.4	重量	180.5	連射速度	520	威力	260x2
レヴェラー・ブルート	240	実弾	460x2	14x16	320	B	C	1.5	重量	228	連射速度	336	威力	483x2
レヴェラーRR	230	実弾	250x2	30x15	560	B-	B-	1.3	重量	218.5	連射速度	594	威力	265x2

●マーゲイ系統
○名称	重量	属性	威力	総弾数	連射速度	射撃精度	反動	リロード時間	強化対象1	強化値1	強化対象2	強化値2	強化対象3	強化値3
マーゲイM40	200	実弾	400x2	18x11	360	B	C+	1.3	重量	190	リロード時間	1.2	威力	416x2
マーゲイ・カスタム	210	実弾	380x2	22x10	360	A-	C-	1.4	重量	199.5	リロード時間	1.29	威力	395x2
マーゲイ・ストライフ	250	実弾	460x2	14x13	360	B-	D+	1.3	重量	237.5	リロード時間	1.18	威力	483x2
マーゲイ・サヴァート	260	実弾	900x2	7x14	200	A+	C+	1.6	重量	247	リロード時間	1.44	威力	954x2

●デュアルマシンガン系統
○名称	重量	属性	威力	総弾数	連射速度	射撃精度	反動	リロード時間	強化対象1	強化値1	強化対象2	強化値2	強化対象3	強化値3
D90デュアル	290	実弾	250x2	39x11	560	D	B	2.1	重量	275.5	連射速度	582	威力	260x2
D90カスタム	270	実弾	240x2	43x10	560	C+	B+	1.9	重量	256.5	連射速度	582	威力	250x2
D99オルトロス	320	実弾	290x2	37x11	500	D+	C+	1.8	重量	304	連射速度	525	威力	305x2
D102アシュヴィン	340	実弾	300x2	32x12	500	C-	C+	1.7	重量	323	連射速度	530	威力	318x2

●コヨーテ系統
○名称	重量	属性	威力	総弾数	連射速度	射撃精度	反動	リロード時間	強化対象1	強化値1	強化対象2	強化値2	強化対象3	強化値3
コヨーテM68	250	実弾(3点双射)	480x2	12x18	360	B-	B-	1.4	重量	237.5	リロード時間	1.29	威力	499x2
コヨーテM68C	260	実弾(3点双射)	430x2	9x27	450	C+	C+	1.3	重量	247	リロード時間	1.2	威力	447x2
コヨーテ・ベイロウ	270	実弾(3点双射)	480x2	6x36	600	B	C+	1.2	重量	256.5	リロード時間	1.09	威力	504x2
コヨーテ・ヴァーキン	280	実弾(3点双射)	520x2	12x17	360	B+	B-	1.5	重量	266	リロード時間	1.35	威力	551x2

●ハウンド系統(タイプA)
○名称	重量	属性	威力	総弾数	連射速度	射撃精度	反動	リロード時間	強化対象1	強化値1	強化対象2	強化値2	強化対象3	強化値3
ハウンド15	270	実弾	410x2	15x14	360	B-	B	1.9	重量	256.5	リロード時間	1.75	威力	426x2
ハウンド17	290	実弾	390x2	17x14	360	B	B+	2.0	重量	275.5	リロード時間	1.84	威力	406x2
ハウンド17C	320	実弾	430x2	16x13	360	C+	C+	2.1	重量	304	リロード時間	1.91	威力	452x2
ハウンド21	340	実弾	460x2	13x14	360	B	B-	1.8	重量	323	リロード時間	1.62	威力	488x2

●ハウンド系統(タイプB)
○名称	重量	属性	威力	総弾数	連射速度	射撃精度	反動	リロード時間	強化対象1	強化値1	強化対象2	強化値2	強化対象3	強化値3
ハウンド15	270	実弾	550x2	15x14	300	D+	C-	1.9	重量	256.5	リロード時間	1.75	威力	572x2
ハウンド17	290	実弾	530x2	17x14	300	C-	C	2.0	重量	275.5	リロード時間	1.84	威力	551x2
ハウンド17C	320	実弾	570x2	16x13	300	D	D	2.1	重量	304	リロード時間	1.91	威力	599x2
ハウンド21	340	実弾	610x2	13x14	300	C-	D+	1.8	重量	323	リロード時間	1.62	威力	647x2

●ジェミニ系統
○名称	重量	属性	威力	総弾数	連射速度	射撃精度	反動	リロード時間	強化対象1	強化値1	強化対象2	強化値2	強化対象3	強化値3
LMM－ジェミニ	280	ニュード	390x2	18x13	360	B	A-	1.6	重量	266	リロード時間	1.47	威力	406x2
LMM－ジェミニC	290	ニュード	330x2	23x12	400	A-	A+	1.5	重量	275.5	リロード時間	1.38	威力	343x2
LMM－ジェミニTF	310	ニュード	330x2	21x15	480	A	B+	1.4	重量	294.5	リロード時間	1.27	威力	347x2
LMM－アブレスト	330	ニュード	540x2	12x14	300	A-	A-	1.5	重量	313.5	リロード時間	1.35	威力	572x2

●PSO2コラボ系統
○名称	重量	属性	威力	総弾数	連射速度	射撃精度	反動	リロード時間	強化対象1	強化値1	強化対象2	強化値2	強化対象3	強化値3
ガルド・ミラ	330	実弾	250x2	36x11	560	C	B	1.6	重量	313.5	連射速度	594	威力	265x2

◆副武器
●38式狙撃銃系統
○名称	重量	属性	威力	総弾数	連射速度	精密照準	弾道制御	リロード時間	強化対象1	強化値1	強化対象2	強化値2	強化対象3	強化値3
38式狙撃銃	240	実弾	3400	4x8	150	3.5	2.5	3.2	重量	228	弾道制御	2.3	威力	3536
38式狙撃銃・改	280	実弾	4300	2x7	150	4.0	2.5	3.0	重量	266	弾道制御	2.3	威力	4472
38式狙撃銃・遠雷	300	実弾	7000	1x8	(単発)	4.0	3.0	3.8	重量	285	弾道制御	2.73	威力	7350
38式狙撃銃・鳴神	370	実弾(一斉発射x5)	2200	5x6	1200	4.5	4.0	5.5	重量	351.5	弾道制御	3.6	威力	2332

●イーグルアイ系統
○名称	重量	属性	威力	総弾数	連射速度	精密照準	弾道制御	リロード時間	強化対象1	強化値1	強化対象2	強化値2	強化対象3	強化値3
イーグルアイV44	230	実弾	2800	5x6	150	2.5／5	2.0	4.0	重量	218.5	弾道制御	1.84	威力	2912
イーグルアイTF	210	実弾	1800	6x5	450	3／6	2.0	3.0	重量	199.5	弾道制御	1.84	威力	1872
イーグルアイVX	280	実弾	6000	1x10	-	3.5／7	2.5	2.4	重量	266	弾道制御	2.28	威力	6300
イーグルアイV55	300	実弾	3450	4x6	150	3／6	1.8	4.0	重量	285	弾道制御	1.62	威力	3657

●バトルライフル系統
○名称	重量	属性	威力	総弾数	連射速度	精密照準	弾道制御	リロード時間	強化対象1	強化値1	強化対象2	強化値2	強化対象3	強化値3
バトルライフル	230	実弾	1800	10x5	300	2	2.2	2.9	重量	218.5	リロード時間	2.67	威力	1872
バトルライフルBF	250	実弾	700	15x8	800	2	2.0	2.7	重量	237.5	リロード時間	2.48	威力	728
バトルライフルS	290	実弾	2450	7x5	240	2.5	2.4	3.0	重量	275.5	リロード時間	2.73	威力	2573
バトルライフルCSM	250	実弾	1750	12x5	240	2	1.8	2.8	重量	237.5	リロード時間	2.52	威力	1855

●LZ－デイライト系統
○名称	重量	属性	威力	総弾数	連射速度	精密照準	弾道制御	リロード時間	強化対象1	強化値1	強化対象2	強化値2	強化対象3	強化値3
LZ－デイライト	290	ニュード	5500	1x10	-	5.5	1.8	4.5	重量	275.5	弾道制御	1.66	威力	5720
LZ－トライアド	320	ニュード	2950	3x9	600	5	2	4.3	重量	304	弾道制御	1.84	威力	3068
LZ－アキュレイト	330	ニュード	6600	1x7	-	6	1	5.0	重量	313.5	弾道制御	0.91	威力	6930
LZ－ヴェスパイン	340	ニュード	8000	1x6	-	5	1.8	5.5	重量	323	弾道制御	1.62	威力	8480

●ブレイザーライフル系統
○名称	重量	属性	威力	総弾数	精密照準	弾道制御	充填時間	リロード時間	強化対象1	強化値1	強化対象2	強化値2	強化対象3	強化値3
ブレイザーライフル	340	ニュード(チャージ)	2500/7500	1x7	5	1.0	2.0	3.5	重量	323	弾道制御	0.92	威力	2600/7800
ブレイザー・バースト	410	ニュード(チャージ)	1300/2600	9x4	5	1.0	1.5	3.2	重量	389.5	弾道制御	0.92	威力	1352/2704
ブレイザー・ロアー	430	ニュード(チャージ)	920/2760	5x5	5	1.7	2.5	4.5	重量	408.5	弾道制御	0.92	威力	920/966
ブレイザー・アグニ	400	ニュード(チャージ)	2900/11600	1x5	5	2.0	3.0	4.0	重量	380	弾道制御	1.8	威力	3074/12296

●ジャンプマイン系統
○名称	重量	属性	威力	総弾数	爆発半径	リロード時間	強化対象1	強化値1	強化対象2	強化値2	強化対象3	強化値3
ジャンプマイン	150	爆発	8700	1x4	23	1.0	重量	142.5	爆風範囲	23.9	威力	9048
ジャンプマインS	160	爆発	7200	1x5	26	1.0	重量	152	爆発半径	27	威力	7488
ジャンプマインV	200	爆発	12600	1x3	21	1.0	重量	190	爆発半径	22.1	威力	13230
ジャンプマインX	250	爆発	11500	1x3	24	1.0	重量	237.5	爆発半径	25.4	威力	12190

●スティッキーボム系統
○名称	重量	属性	威力	総弾数	爆発半径	起爆時間	リロード時間	強化対象1	強化値1	強化対象2	強化値2	強化対象3	強化値3
スティッキーボム	140	爆発	2900x3	1x6	17	1.5	1.3	重量	133	爆発半径	17.7	威力	3016x3
スティッキーボムS	150	爆発	2000x5	1x8	20	1.0	1.2	重量	142.5	爆発半径	21	威力	2100x5
スティッキーボムV	190	爆発	5000x2	1x4	22	2.2	1.7	重量	180.5	爆発半径	23.3	威力	5300x2

●FLR－サリッサ系統
○名称	重量	属性	威力	総弾数	連射速度	リロード時間	強化対象1	強化値1	強化対象2	強化値2	強化対象3	強化値3
FLR－サリッサ	330	ニュード	4100	2x4	120	3.0	重量	313.5	リロード時間	2.76	威力	4264
FLR－サリッサTF	350	ニュード	3200	3x5	400	2.5	重量	332.5	リロード時間	2.28	威力	3360
FLR－ジャベリン	360	ニュード	7200	1x5	(単発)	3.5	重量	342	リロード時間	3.15	威力	7632

◆補助装備
●偵察機系統
○名称	重量	索敵範囲	所持数	飛行距離	飛行速度	索敵継続	強化対象1	強化値1	強化対象2	強化値2	強化対象3	強化値3
ラーク偵察機	370	110	3	250	28	10	重量	351.5	索敵範囲	119	索敵継続	10.8
ファルコン偵察機	360	95	3	500	50	10	重量	342	索敵範囲	103	索敵継続	10.8
アウル偵察機	390	130	2	220	14	10	重量	370.5	索敵範囲	142	索敵継続	10.9
ロビン偵察機	380	200	2	150	20	10	重量	361	索敵範囲	220	索敵継続	11.0

●レーダーユニット系統
○名称	重量	索敵範囲	索敵角度	索敵継続	強化対象1	強化値1	強化対象2	強化値2	強化対象3	強化値3
レーダーユニット	380	220	60	15	重量	361	索敵範囲	238	索敵継続	16.2
レーダーユニットII	390	180	120	15	重量	370.5	索敵範囲	196	索敵継続	16.4
レーダーユニットIII	420	160	360	15	重量	399	索敵範囲	176	索敵継続	16.5

●セントリーガン系統
○名称	重量	属性	威力	総弾数	連射速度	リロード時間	有効距離	所持数	強化対象1	強化値1	強化対象2	強化値2	強化対象3	強化値3
セントリーガンSMG	390	実弾	80	30x∞	800	3.0	80	1	重量	370.5	リロード時間	2.76	威力	83
セントリーガンAC	420	実弾	520	5x∞	150	4.0	80	1	重量	399	リロード時間	3.68	威力	541
セントリーガンSHG	450	実弾	240x8	3x∞	800	3.6	80	1	重量	427.5	リロード時間	3.28	威力	252x8
セントリーガンLZ	430	ニュード	850	3x∞	120	4.2	80	1	重量	408.5	リロード時間	3.78	威力	901

●エアロセントリー系統
○名称	重量	属性	威力	総弾数	連射速度	リロード時間	有効距離	所持数	強化対象1	強化値1	強化対象2	強化値2	強化対象3	強化値3
エアロセントリー	430	実弾	100	20x∞	420	4	40	2	重量	408.5	リロード	3.68	威力	104
エアロセントリーS	470	実弾	240	3x∞	120	2.5	40	3	重量	446.5	リロード	2.3	威力	250
エアロセントリーV	480	実弾	720	10x∞	75	3.5	40	1	重量	456	リロード	3.19	威力	756
エアロセントリーLZ	490	ニュード	900	2x∞	120	2.4	40	1	重量	465.5	リロード	2.16	威力	954

●FBS－ワイバーン系統
○名称	重量	属性	威力	所持数	爆発半径	飛行速度	強化対象1	強化値1	強化対象2	強化値2	強化対象3	強化値3
FBS－ワイバーン	500	ニュード	4000x3	5	17	14	重量	475	爆発半径	17.7	威力	4160x3
FBS－ワイバーンM	420	ニュード	3600x4	3	16	11	重量	494	爆発半径	16.8	威力	3780x4
FBS－ワイバーンW	550	ニュード	3200x5	4	19	17	重量	522.5	爆発半径	20.1	威力	3392x5

◆特別装備
●シールド系統
○名称	重量	連続使用	防弾範囲	耐久力	チャージ時間	強化対象1	強化値1	強化対象2	強化値2	強化対象3	強化値3
シールド発生装置	210	100	Lv1	60000	40	重量	199.5	チャージ時間	38	耐久力	64800
シールド発生装置・改	230	80	Lv2	50000	30	重量	218.5	チャージ時間	28.2	耐久力	54500
高出力シールド	250	90	Lv2	80000	25	重量	237.5	チャージ時間	23.25	耐久力	88000

●マグネタイザー系統
○名称	重量	連続使用	速度低下	効果範囲	チャージ時間	強化対象1	強化値1	強化対象2	強化値2	強化対象3	強化値3
マグネタイザー	320	35	Lv2	17	35	重量	304	チャージ時間	33.25	連続使用	37.8
マグネタイザーβ	360	30	Lv1	21	25	重量	360	チャージ時間	23.5	連続使用	32.7
マグネタイザーγ	380	25	Lv3	15	30	重量	361	チャージ時間	27.9	連続使用	27.5

●光学迷彩系統
○名称	重量	連続使用	ステルス	チャージ時間	強化対象1	強化値1	強化対象2	強化値2	強化対象3	強化値3
光学迷彩・試作型	240	15	Lv1	40	重量	228	チャージ時間	38	連続使用	16.2
光学迷彩・実用型	270	13	Lv2	35	重量	256.5	チャージ時間	33.25	連続使用	14.04
光学迷彩・耐久型	320	22	Lv1	50	重量	304	チャージ時間	47	連続使用	23.98
光学迷彩・高出力型	300	11	Lv3	20	重量	285	チャージ時間	18.6	連続使用	12.1

●EUS系統
○名称	重量	属性	連続使用	威力	総弾数	チャージ時間	リロード時間	有効距離	感知角度	強化対象1	強化値1	強化対象2	強化値2	強化対象3	強化値3
EUS－T1	320	実弾	25	210	18x∞	35	3.4	50	180	重量	304	リロード時間	3.13	威力	218
EUS－T2	330	実弾	30	90	50x∞	25	2.2	40	360	重量	313.5	リロード時間	2.0	威力	95
EUS－TLZ	370	ニュード	20	880	5x∞	35	3.6	60	90	重量	351.5	リロード時間	3.24	威力	933

■支援兵装
◆主武器
●スマック系統
○名称	重量	属性	威力	総弾数	連射速度	拡散率	リロード時間	強化対象1	強化値1	強化対象2	強化値2	強化対象3	強化値3
スマックショット	220	実弾	430x8	8x8	50	中	2.6	重量	209	リロード時間	2.39	威力	447x8
ワイドスマック	280	実弾	400x12	5x9	50	大	3.0	重量	266	リロード時間	2.76	威力	416x12
レイジスマック	320	実弾	560x12	2x14	50	特大	2.5	重量	304	リロード時間	2.28	威力	588x12
スマックショットSP	260	実弾	460x10	6x8	50	中	2.6	重量	247	リロード時間	2.34	威力	488x10

●スケルツ系統
○名称	重量	属性	威力	総弾数	連射速度	拡散率	リロード時間	強化対象1	強化値1	強化対象2	強化値2	強化対象3	強化値3
スケルツM910	240	実弾	530x4	3x41	720	小	1.1	重量	228	リロード時間	1.01	威力	551x4
スケルツ・ハイキャパ	270	実弾	310x7	9x11	800	中	2.0	重量	256.5	リロード時間	1.84	威力	322x7
スケルツ・アクート	250	実弾	620x3	6x21	800	極小	1.4	重量	237.5	リロード時間	1.27	威力	651x3
スケルツ・アーバンテ	260	実弾	400x5	9x12	720	小	1.8	重量	247	リロード時間	1.62	威力	424x5

●LSG－アヴローラ系統
○名称	重量	属性	威力	総弾数	連射速度	拡散率	リロード時間	強化対象1	強化値1	強化対象2	強化値2	強化対象3	強化値3
LSG－アヴローラ	270	ニュード	810x5	5x9	42	小	3.0	重量	256.5	リロード時間	2.76	威力	842x5
LSG－アヴローラβ	310	ニュード	470x10	6x6	42	大	3.2	重量	294.5	リロード時間	2.94	威力	489x10
LSG－ラドゥガ	320	ニュード	780x6	4x9	42	極小	2.9	重量	304	リロード時間	2.64	威力	819x6
LSG－ミラージ	350	ニュード	710x8	3x11	42	中	2.7	重量	332.5	リロード時間	2.43	威力	753x8

●CLS－ライオ系統
○名称	重量	属性	威力	総弾数	連射速度	拡散率	充填時間	リロード時間	強化対象1	強化値1	強化対象2	強化値2	強化対象3	強化値3
CLS－ライオ	260	ニュード	410x10	3x14	90	大	1.2	1.8	重量	247	リロード時間	1.66	威力	426x10
CLS－ライオβ	290	ニュード	430x8	5x12	90	中	1.0	2.4	重量	275.5	リロード時間	2.21	威力	447.x8
CLS－ライオγ	270	ニュード	560x5	3x25	300	中	1.2	2.1	重量	256.5	リロード時間	1.91	威力	588x5
CLS－イルミナル	320	ニュード	930x6	1x24	-	中	2.5	1.8	重量	304	リロード時間	1.62	威力	986x6

●ネイルガン系統
○名称	重量	属性	威力	総弾数	連射速度	射撃精度	反動	リロード時間	強化対象1	強化値1	強化対象2	強化値2	強化対象3	強化値3
ネイルガン	140	実弾	600	20x16	480	D	C	1.1	重量	133	リロード時間	1.01	威力	624
ネイルガンTF	160	実弾(3点射)	640	18x17	480	C	C-	1.0	重量	152	リロード時間	0.92	威力	666
ラピッドネイル	210	実弾	500	28x14	600	C-	D	1.6	重量	199.5	リロード時間	1.46	威力	525
